MarshCode,HiveLocation,HiveCode,SamplingPeriod,SampleCode,VialNo,TubeNo,WeightG,IdCran,SpeciesType,DateClosed,DateCollected,ClosedSky,CollectedSky,ClosedWeather,CollectedWeather,Country,State,County,LandscapeType,Woodland,OpenNatural,Lat,Long,AreaM,TotalWeight,PropWeight
HS,R,HSR,LB2,HSR-LB2,1,1,6.315,NON,22,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,68,19,44.1864926,-90.60058043,248215.75,45.392,0.14
HS,R,HSR,LB2,HSR-LB2,1,2,8.481,,NA,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,68,19,44.1864926,-90.60058043,248215.75,45.392,0.19
HS,R,HSR,LB2,HSR-LB2,1,3,1.509,NON,33,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,68,19,44.1864926,-90.60058043,248215.75,45.392,0.03
HS,W,HSW,LB2,HSW-LB2,1,1,0.027,NON,33,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,68,19,44.1864926,-90.60058043,248215.75,0.045,0.6
HS,W,HSW,LB2,HSW-LB2,1,2,0.018,NON,17,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,68,19,44.1864926,-90.60058043,248215.75,0.045,0.4
HS,W,HSW,LB1,HSW-LB1,1,1,0.009,,NA,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,68,19,44.1864926,-90.60058043,248215.75,0.009,1
HS,C,HSC,PB2,HSC-PB2,1,1,0.047,NON,22,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,68,19,44.1864926,-90.60058043,248215.75,3.602,0.01
HS,C,HSC,PB2,HSC-PB2,1,2,0.019,NON,22,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,68,19,44.1864926,-90.60058043,248215.75,3.602,0.01
HS,C,HSC,PB2,HSC-PB2,1,3,2.198,NON,8,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,68,19,44.1864926,-90.60058043,248215.75,3.602,0.61
HS,C,HSC,PB2,HSC-PB2,1,4,1.123,NON,11,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,68,19,44.1864926,-90.60058043,248215.75,3.602,0.31
HS,C,HSC,PB2,HSC-PB2,1,5,0.215,NON,8,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,68,19,44.1864926,-90.60058043,248215.75,3.602,0.06
HS,C,HSC,LB1,HSC-LB1,1,1,0.1,NON,25,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,68,19,44.1864926,-90.60058043,248215.75,0.1,1
HS,R,HSR,PB2,HSR-PB2,1,1,7.721,NON,5,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,68,19,44.1864926,-90.60058043,248215.75,15.306,0.5
