ID	Sample_name	Row	Col	Population	Harv_2023_1	Harv_2023_2	Harv_2024_1	Harv_2024_2	Sample_id
#35 (WC16-35)	No351635	20	27	ColorPanel	NA	NA	NA	NA	No351635   20,27
Ben Lear (WC12-84)	BenLear1284	20	28	ColorPanel	NA	NA	NA	NA	BenLear1284   20,28
CNJ04-23-7	CNJ0423701	14	22	ColorPanel	NA	NA	NA	NA	CNJ0423701   14,22
CNJ04-23-7	CNJ0423702	12	27	ColorPanel	NA	NA	NA	NA	CNJ0423702   12,27
CNJ04-23-7	CNJ0423703	4	26	ColorPanel	NA	NA	NA	NA	CNJ0423703   4,26
CNJ04-23-7	CNJ0423704	6	21	ColorPanel	NA	NA	NA	NA	CNJ0423704   6,21
CNJ04-23-9	CNJ04239	1	28	ColorPanel	NA	NA	NA	NA	CNJ04239   1,28
CNJ05-34-40	CNJ053440	1	20	ColorPanel	NA	NA	NA	NA	CNJ053440   1,20
CNJ08-233-1	CNJ082331	2	20	ColorPanel	NA	NA	NA	NA	CNJ082331   2,20
CNJ08-233-12	CNJ0823312	2	27	ColorPanel	NA	NA	NA	NA	CNJ0823312   2,27
CNJ08-233-15	CNJ0823315	2	28	ColorPanel	NA	NA	NA	NA	CNJ0823315   2,28
CNJ08-233-19	CNJ0823319	7	28	ColorPanel	NA	NA	NA	NA	CNJ0823319   7,28
CNJ08-233-21	CNJ0823321	8	26	ColorPanel	NA	NA	NA	NA	CNJ0823321   8,26
CNJ08-233-23	CNJ0823323	8	28	ColorPanel	NA	NA	NA	NA	CNJ0823323   8,28
CNJ08-233-24	CNJ0823324	9	24	ColorPanel	NA	NA	NA	NA	CNJ0823324   9,24
CNJ08-233-26	CNJ0823326	9	27	ColorPanel	NA	NA	NA	NA	CNJ0823326   9,27
CNJ08-233-31	CNJ0823331	10	26	ColorPanel	NA	NA	NA	NA	CNJ0823331   10,26
CNJ08-233-32	CNJ0823332	13	20	ColorPanel	NA	NA	NA	NA	CNJ0823332   13,20
CNJ08-233-35	CNJ0823335	3	23	ColorPanel	NA	NA	NA	NA	CNJ0823335   3,23
CNJ08-233-36	CNJ0823336	13	25	ColorPanel	NA	NA	NA	NA	CNJ0823336   13,25
CNJ08-233-37	CNJ0823337	15	20	ColorPanel	NA	NA	NA	NA	CNJ0823337   15,20
CNJ08-233-38	CNJ0823338	2	25	ColorPanel	NA	NA	NA	NA	CNJ0823338   2,25
CNJ08-233-41	CNJ0823341	9	23	ColorPanel	NA	NA	NA	NA	CNJ0823341   9,23
CNJ08-233-43	CNJ0823343	17	23	ColorPanel	NA	NA	NA	NA	CNJ0823343   17,23
CNJ08-233-46	CNJ0823346	3	27	ColorPanel	NA	NA	NA	NA	CNJ0823346   3,27
CNJ08-233-47	CNJ0823347	1	26	ColorPanel	NA	NA	NA	NA	CNJ0823347   1,26
CNJ08-233-49	CNJ0823349	14	24	ColorPanel	NA	NA	NA	NA	CNJ0823349   14,24
CNJ08-233-51	CNJ0823351	9	22	ColorPanel	NA	NA	NA	NA	CNJ0823351   9,22
CNJ08-233-54	CNJ0823354	3	33	ColorPanel	NA	NA	NA	NA	CNJ0823354   3,33
CNJ08-233-57	CNJ0823357	3	24	ColorPanel	NA	NA	NA	NA	CNJ0823357   3,24
CNJ08-233-58	CNJ0823358	3	25	ColorPanel	NA	NA	NA	NA	CNJ0823358   3,25
CNJ08-233-62	CNJ0823362	3	20	ColorPanel	NA	NA	NA	NA	CNJ0823362   3,20
CNJ08-233-64	CNJ0823364	5	27	ColorPanel	NA	NA	NA	NA	CNJ0823364   5,27
CNJ08-233-69	CNJ0823369	6	23	ColorPanel	NA	NA	NA	NA	CNJ0823369   6,23
CNJ08-233-71	CNJ0823371	6	28	ColorPanel	NA	NA	NA	NA	CNJ0823371   6,28
CNJ08-233-73	CNJ0823373	5	28	ColorPanel	NA	NA	NA	NA	CNJ0823373   5,28
