pH,Rep,Sample_code,Label,nm_520,nm_700,Date,Rx_min,Harvest,Year,Reps,Notes,Person
1,1,108-9,1,0.427,0.226,19/10/24,20,1,2023,0,,Jessee
1,2,108-9,1,0.463,0.25,19/10/24,20,1,2023,0,,Jessee
4.5,1,114-9,1,0.506,0.138,19/10/24,20,1,2023,0,,Jessee
4.5,2,114-9,1,0.525,0.14,19/10/24,20,1,2023,0,,Jessee
1,2,114-9,1,2.354,0.125,19/10/24,20,1,2023,0,,Jessee
1,1,114-9,1,2.308,0.134,19/10/24,20,1,2023,0,,Jessee
4.5,2,117-7,1,0.439,0.164,19/10/24,20,1,2023,0,,Jessee
4.5,1,117-7,1,0.441,0.169,19/10/24,20,1,2023,0,,Jessee
1,2,117-7,1,1.71,0.138,19/10/24,20,1,2023,0,,Jessee
1,1,117-7,1,1.812,0.156,19/10/24,20,1,2023,0,,Jessee
4.5,1,117-9,1,0.279,0.14,19/10/24,20,1,2023,0,Barely any juice,Jessee
4.5,2,117-9,1,0.451,0.228,19/10/24,20,1,2023,0,Barely any juice,Jessee
1,1,117-9,1,1.372,0.206,19/10/24,20,1,2023,0,Barely any juice,Jessee
1,2,117-9,1,3.553,0.526,19/10/24,20,1,2023,0,Barely any juice,Jessee
4.5,2,1-20,1,0.297,0.113,01/11/24,20,1,2023,0,,
4.5,1,1-20,1,0.228,0.133,01/11/24,20,1,2023,0,,
4.5,2,1-20,1,0.243,0.134,30/10/24,20,1,2023,0,,
4.5,1,1-20,1,0.307,0.169,30/10/24,20,1,2023,0,,
1,2,1-20,1,0.371,0.126,30/10/24,20,1,2023,0,,
1,1,1-20,1,0.382,0.141,30/10/24,20,1,2023,0,,
1,2,1-20,1,0.252,0.153,01/11/24,20,1,2023,0,,
1,1,1-20,1,0.393,0.182,01/11/24,20,1,2023,0,,
4.5,1,1-28,1,0.554,0.132,29/10/24,20,1,2023,0,,
4.5,1,1-28,1,0.617,0.133,31/10/24,20,1,2023,0,,
4.5,2,1-28,1,0.677,0.148,29/10/24,20,1,2023,0,,
4.5,2,1-28,1,0.761,0.154,31/10/24,20,1,2023,0,,
1,1,1-28,1,1.931,0.109,31/10/24,20,1,2023,0,,
1,1,1-28,1,1.823,0.118,29/10/24,20,1,2023,0,,
1,2,1-28,1,2.203,0.135,29/10/24,20,1,2023,0,,
1,2,1-28,1,2.323,0.135,31/10/24,20,1,2023,0,,
4.5,1,3-27,1,0.217,0.091,31/10/24,20,1,2023,0,,
4.5,2,3-27,1,0.208,0.095,29/10/24,20,1,2023,0,,
4.5,2,3-27,1,0.248,0.111,31/10/24,20,1,2023,0,,
4.5,1,3-27,1,0.303,0.197,29/10/24,20,1,2023,0,,
1,1,3-27,1,0.498,0.095,31/10/24,20,1,2023,0,,
1,2,3-27,1,0.419,0.102,29/10/24,20,1,2023,0,,
1,2,3-27,1,0.497,0.108,31/10/24,20,1,2023,0,,
1,1,3-27,1,0.493,0.156,29/10/24,20,1,2023,0,,
4.5,2,5-27,1,0.224,0.12,30/10/24,20,1,2023,0,,
4.5,1,5-27,1,0.247,0.137,30/10/24,20,1,2023,0,,
4.5,2,5-27,1,0.41,0.21,30/10/24,20,1,2023,0,,
4.5,1,5-27,1,0.444,0.225,30/10/24,20,1,2023,0,,
1,2,5-27,1,0.31,0.116,30/10/24,20,1,2023,0,,
1,1,5-27,1,0.338,0.136,30/10/24,20,1,2023,0,,
1,2,5-27,1,0.71,0.189,30/10/24,20,1,2023,0,,
1,1,5-27,1,0.735,0.193,30/10/24,20,1,2023,0,,
4.5,2,5-28,1,0.322,0.144,31/10/24,20,1,2023,0,,
4.5,1,5-28,1,0.308,0.146,31/10/24,20,1,2023,0,,
4.5,2,5-28,1,0.292,0.162,29/10/24,20,1,2023,0,,
4.5,1,5-28,1,0.355,0.189,29/10/24,20,1,2023,0,,
1,2,5-28,1,0.668,0.14,31/10/24,20,1,2023,0,,
1,1,5-28,1,0.62,0.162,31/10/24,20,1,2023,0,,
1,2,5-28,1,0.519,0.166,29/10/24,20,1,2023,0,,
1,1,5-28,1,0.627,0.196,29/10/24,20,1,2023,0,,
4.5,1,12-25,1,0.382,0.225,28/10/24,20,1,2023,0,It was label as 13-25 but probably was a tipping mistake,
4.5,2,12-25,1,0.385,0.235,28/10/24,20,1,2023,0,It was label as 13-25 but probably was a tipping mistake,
1,1,12-25,1,0.465,0.212,28/10/24,20,1,2023,0,It was label as 13-25 but probably was a tipping mistake,
1,2,12-25,1,0.466,0.228,28/10/24,20,1,2023,0,It was label as 13-25 but probably was a tipping mistake,
4.5,2,109-8,1,0.734,0.156,28/10/24,20,1,2023,0,,
4.5,2,109-8,1,0.734,0.156,28/10/24,20,1,2023,0,,
4.5,1,109-8,1,0.788,0.16,28/10/24,20,1,2023,0,,
4.5,1,109-8,1,0.788,0.16,28/10/24,20,1,2023,0,,
1,1,109-8,1,2.857,0.153,28/10/24,20,1,2023,0,,
1,1,109-8,1,2.857,0.153,28/10/24,20,1,2023,0,,
1,2,109-8,1,2.888,0.169,28/10/24,20,1,2023,0,,
1,2,109-8,1,2.888,0.169,28/10/24,20,1,2023,0,,
4.5,1,112-6,1,1.053,0.196,29/10/24,20,1,2023,0,,
4.5,2,112-6,1,1.107,0.199,29/10/24,20,1,2023,0,,
4.5,2,112-6,1,0.439,0.269,30/10/24,20,1,2023,0,,
4.5,1,112-6,1,0.488,0.313,30/10/24,20,1,2023,0,,
1,1,112-6,1,3.656,0.204,29/10/24,20,1,2023,0,,
1,2,112-6,1,3.633,0.213,29/10/24,20,1,2023,0,,
1,2,112-6,1,0.495,0.236,30/10/24,20,1,2023,0,,
1,1,112-6,1,0.518,0.263,30/10/24,20,1,2023,0,,
4.5,2,117-9,1,0.874,0.284,28/10/24,20,1,2023,0,,
4.5,1,117-9,1,0.859,0.285,28/10/24,20,1,2023,0,,
1,2,117-9,1,2.143,0.272,28/10/24,20,1,2023,0,,
1,1,117-9,1,2.287,0.287,28/10/24,20,1,2023,0,,
4.5,2,13-25,1,0.532,0.149,24/10/24,20,1,2023,0,,
4.5,1,13-25,1,0.627,0.231,24/10/24,20,1,2023,0,,
1,2,13-25,1,1.531,0.137,24/10/24,20,1,2023,0,,
