Sample_name,Row,Col,Harvest,Harvest_year,Population,Sample_id,Fruit_n,Total_weight,Avg_weight,Date,Notes
HW12,115,1,1,2024,Diversity Panel,"HW12  115,1",44,36.6,0.83181818,25/09/2024,
Stevens02,115,10,1,2024,Diversity Panel,"Stevens02  115,10",49,121.46,2.47877551,25/09/2024,
LOLM01,115,11,1,2024,Diversity Panel,"LOLM01  115,11",40,41.75,1.04375,25/09/2024,
LOLM03,115,12,1,2024,Diversity Panel,"LOLM03  115,12",34,33.44,0.98352941,25/09/2024,Amarillo chiquito
LOLM07,115,13,1,2024,Diversity Panel,"LOLM07  115,13",0,0,0,25/09/2024,
LOLM11,115,14,1,2024,Diversity Panel,"LOLM11  115,14",0,0,0,25/09/2024,
LOLM12,115,15,1,2024,Diversity Panel,"LOLM12  115,15",40,51.52,1.288,25/09/2024,
LRL01,115,16,1,2024,Diversity Panel,"LRL01  115,16",11,14.26,1.29636364,25/09/2024,
LRL02,115,17,1,2024,Diversity Panel,"LRL02  115,17",45,64.2,1.42666667,25/09/2024,
LRL03,115,18,1,2024,Diversity Panel,"LRL03  115,18",0,0,0,25/09/2024,
LRL04,115,19,1,2024,Diversity Panel,"LRL04  115,19",52,64.04,1.23153846,25/09/2024,"Uniforme, rojo"
KLB17,115,2,1,2024,Diversity Panel,"KLB17  115,2",48,36.3,0.75625,25/09/2024,
LL07,115,3,1,2024,Diversity Panel,"LL07  115,3",13,16.19,1.24538462,25/09/2024,
Stevens12,115,4,1,2024,Diversity Panel,"Stevens12  115,4",33,77.17,2.33848485,25/09/2024,
LL08,115,5,1,2024,Diversity Panel,"LL08  115,5",52,57.13,1.09865385,25/09/2024,
LL12,115,6,1,2024,Diversity Panel,"LL12  115,6",55,61.2,1.11272727,25/09/2024,"Diamante, calix plano"
LL13,115,7,1,2024,Diversity Panel,"LL13  115,7",53,74,1.39622642,25/09/2024,
LL14,115,8,1,2024,Diversity Panel,"LL14  115,8",59,88.51,1.50016949,25/09/2021,
LL15,115,9,1,2024,Diversity Panel,"LL15  115,9",57,81.07,1.4222807,25/09/2024,
LRL05,116,1,1,2024,Diversity Panel,"LRL05  116,1",13,21.75,1.67307692,23/09/24,
SHPL13,116,10,1,2024,Diversity Panel,"SHPL13  116,10",38,38.57,0,23/09/24,
WABL04,116,11,1,2024,Diversity Panel,"WABL04  116,11",42,51.32,1.22190476,23/09/24,
Stevens14,116,12,1,2024,Diversity Panel,"Stevens14  116,12",44,81.79,0,23/09/24,
WABL06,116,13,1,2024,Diversity Panel,"WABL06  116,13",0,0,0,23/09/24,
WABL11,116,14,1,2024,Diversity Panel,"WABL11  116,14",0,0,0,23/09/24,
LorrainWU,116,15,1,2024,Diversity Panel,"LorrainWU  116,15",43,54.7,1.27209302,23/09/24,
WC170071,116,16,1,2024,Diversity Panel,"WC170071  116,16",39,80.39,2.06128205,23/09/24,
Stevens10,116,17,1,2024,Diversity Panel,"Stevens10  116,17",0,0,0,23/09/24,
WC170077,116,18,1,2024,Diversity Panel,"WC170077  116,18",38,71.63,1.885,23/09/24,Green fruit
WC170081,116,19,1,2024,Diversity Panel,"WC170081  116,19",42,71.54,1.70333333,23/09/24,
LRL10,116,2,1,2024,Diversity Panel,"LRL10  116,2",44,53.87,1.22431818,23/09/24,
LRL11,116,3,1,2024,Diversity Panel,"LRL11  116,3",0,0,0,23/09/24,
LRL15,116,4,1,2024,Diversity Panel,"LRL15  116,4",2,2.34,1.17,23/09/24,
LRL18,116,5,1,2024,Diversity Panel,"LRL18  116,5",39,41.97,1.07615385,23/09/24,
PMW02,116,6,1,2024,Diversity Panel,"PMW02  116,6",42,72.67,1.7302381,23/09/24,
PMW16,116,7,1,2024,Diversity Panel,"PMW16  116,7",41,65.89,1.60707317,23/09/24,
PMW20,116,8,1,2024,Diversity Panel,"PMW20  116,8",41,63.68,1.55317073,23/09/24,
SEB15,116,9,1,2024,Diversity Panel,"SEB15  116,9",37,51.83,1.40081081,23/09/24,
WC170131,117,1,1,2024,Diversity Panel,"WC170131  117,1",47,83.76,1.78212766,24/09/24,
WC170263,117,10,1,2024,Diversity Panel,"WC170263  117,10",46,62.93,1.36804348,24/09/24,
WC170266,117,11,1,2024,Diversity Panel,"WC170266  117,11",47,129.64,2.75829787,24/09/24,
WC170271,117,12,1,2024,Diversity Panel,"WC170271  117,12",36,69.63,1.93416667,24/09/24,
WC170272,117,13,1,2024,Diversity Panel,"WC170272  117,13",40,72.5,1.8125,24/09/24,
WC170273,117,14,1,2024,Diversity Panel,"WC170273  117,14",50,98.22,1.9644,24/09/24,
WC170274,117,15,1,2024,Diversity Panel,"WC170274  117,15",53,123.02,2.32113208,24/09/24,
WC170275,117,16,1,2024,Diversity Panel,"WC170275  117,16",11,15.35,1.39545455,24/09/24,
WC170276,117,17,1,2024,Diversity Panel,"WC170276  117,17",0,0,0,24/09/24,
WC170277,117,18,1,2024,Diversity Panel,"WC170277  117,18",49,117.06,2.38897959,24/09/24,
WC170361,117,19,1,2024,Diversity Panel,"WC170361  117,19",49,73.57,1.50142857,24/09/24,
WC170135,117,2,1,2024,Diversity Panel,"WC170135  117,2",48,75.32,1.56916667,24/09/24,
WC170141,117,3,1,2024,Diversity Panel,"WC170141  117,3",43,72.63,1.68906977,24/09/24,
WC170203,117,4,1,2024,Diversity Panel,"WC170203  117,4",47,95.49,2.03170213,24/09/24,
WC17022,117,5,1,2024,Diversity Panel,"WC17022  117,5",43,66.38,1.54372093,24/09/24,
WC170238,117,6,1,2024,Diversity Panel,"WC170238  117,6",52,66.62,1.28115385,24/09/24,
WC170241,117,7,1,2024,Diversity Panel,"WC170241  117,7",57,80.19,1.40684211,24/09/24,
WC170251,117,8,1,2024,Diversity Panel,"WC170251  117,8",59,94.24,1.59728814,24/09/24,
WC170252,117,9,1,2024,Diversity Panel,"WC170252  117,9",55,66.99,1.218,24/09/24,
WC170367,118,1,1,2024,Diversity Panel,"WC170367  118,1",45,96.46,2.14355556,20/9/24,
WC170438,118,10,1,2024,Diversity Panel,"WC170438  118,10",48,82.98,1.72875,20/9/24,
WC170461,118,11,1,2024,Diversity Panel,"WC170461  118,11",52,67.23,1.29288462,20/9/24,
WC170465,118,12,1,2024,Diversity Panel,"WC170465  118,12",0,0,0,20/9/24,
WC170471,118,13,1,2024,Diversity Panel,"WC170471  118,13",11,12.94,1.17636364,20/9/24,
WC170473,118,14,1,2024,Diversity Panel,"WC170473  118,14",42,106.61,2.53833333,20/9/24,
WC170477,118,15,1,2024,Diversity Panel,"WC170477  118,15",52,82.61,1.58865385,20/9/24,
WC170503,118,16,1,2024,Diversity Panel,"WC170503  118,16",38,65.59,1.72605263,20/9/24,
WC170521,118,17,1,2024,Diversity Panel,"WC170521  118,17",51,68.22,1.33764706,20/9/24,
WC170523,118,18,1,2024,Diversity Panel,"WC170523  118,18",55,79.42,1.444,20/9/24,
WC170533,118,19,1,2024,Diversity Panel,"WC170533  118,19",52,106.81,2.05403846,20/9/24,
WC170371,118,2,1,2024,Diversity Panel,"WC170371  118,2",43,78.83,1.83325581,20/9/24,
