"","RAPiD Genomics Sample Code","Unique Client Code"
"372","VAC_155005_P004_WG11","CNJ08-233-57"
"374","VAC_155005_P004_WH01","ST x BL8-02"
"375","VAC_155005_P004_WH02","ST x BL8-10"
"376","VAC_155005_P004_WH03","ST x BL8-18"
"377","VAC_155005_P004_WH04","ST x BL8-26"
"378","VAC_155005_P004_WH05","ST x BL8-34"
"379","VAC_155005_P004_WH06","ST x BL8-42"
"380","VAC_155005_P004_WH07","ST x BL8-50"
"381","VAC_155005_P004_WH08","BL05-1-1"
"382","VAC_155005_P004_WH09","CNJ12-56-06"
"383","VAC_155005_P004_WH10","CNJ08-233-38"
"384","VAC_155005_P004_WH11","CNJ08-233-58"
"386","VAC_155005_P005_WA01","CNJ12-56-54"
"387","VAC_155005_P005_WA02","CNJ12-56-68"
"388","VAC_155005_P005_WA03","CNJ12-56-102"
"389","VAC_155005_P005_WA04","CNJ08-233-41"
"390","VAC_155005_P005_WA05","CNJ12-56-137"
"391","VAC_155005_P005_WA06","CNJ12-56-148"
"392","VAC_155005_P005_WA07","CNJ08-233-36"
"393","VAC_155005_P005_WA08","CNJ08-233-79"
"394","VAC_155005_P005_WA09","CNJ12-56-200"
"395","VAC_155005_P005_WA10","CNJ12-58-09"
"396","VAC_155005_P005_WA11","CNJ12-58-20"
"397","VAC_155005_P005_WA12","CNJ12-58-28"
"398","VAC_155005_P005_WB01","CNJ04-23-7"
"399","VAC_155005_P005_WB02","CNJ08-233-69"
"400","VAC_155005_P005_WB03","CNJ12-56-105"
"401","VAC_155005_P005_WB04","CNJ08-233-24"
"402","VAC_155005_P005_WB05","CNJ12-56-139"
"403","VAC_155005_P005_WB06","CNJ12-56-150"
"404","VAC_155005_P005_WB07","CNJ12-56-172"
"405","VAC_155005_P005_WB08","CNJ12-56-190"
"406","VAC_155005_P005_WB09","CNJ12-56-202"
"407","VAC_155005_P005_WB10","CNJ12-58-10"
"408","VAC_155005_P005_WB11","CNJ12-58-21"
"409","VAC_155005_P005_WB12","CNJ12-58-29"
"410","VAC_155005_P005_WC01","CNJ12-56-56"
"411","VAC_155005_P005_WC02","CNJ12-56-71"
"412","VAC_155005_P005_WC03","CNJ12-56-106"
"413","VAC_155005_P005_WC04","CNJ08-233-26"
"414","VAC_155005_P005_WC05","CNJ12-56-141"
"415","VAC_155005_P005_WC06","CNJ12-56-153"
"416","VAC_155005_P005_WC07","CNJ08-233-49"
"417","VAC_155005_P005_WC08","CNJ12-56-191"
"418","VAC_155005_P005_WC09","CNJ12-58-01"
"419","VAC_155005_P005_WC10","CNJ12-58-11"
"420","VAC_155005_P005_WC11","CNJ12-58-22"
"421","VAC_155005_P005_WC12","CNJ12-58-30"
