Code,ID,Experiment,Genotyped
VAC_155005_P005_WC07,CNJ08-233-49,Color panel,Yes
VAC_155005_P005_WC08,CNJ12-56-191,Color panel,Yes
VAC_155005_P005_WC09,CNJ12-58-01,Color panel,Yes
VAC_155005_P005_WC10,CNJ12-58-11,Color panel,Yes
VAC_155005_P005_WC11,CNJ12-58-22,Color panel,Yes
VAC_155005_P005_WC12,CNJ12-58-30,Color panel,Yes
VAC_155005_P005_WD01,CNJ12-56-58,Color panel,Yes
VAC_155005_P005_WD02,CNJ12-56-73,Color panel,Yes
VAC_155005_P005_WD03,CNJ12-56-108,Color panel,Yes
VAC_155005_P005_WD04,CNJ12-56-124,Color panel,Yes
VAC_155005_P005_WD05,CNJ12-56-142,Color panel,Yes
VAC_155005_P005_WD06,CNJ12-56-154,Color panel,Yes
VAC_155005_P005_WD07,CNJ12-56-179,Color panel,Yes
VAC_155005_P005_WD08,CNJ12-56-192,Color panel,Yes
VAC_155005_P005_WD09,CNJ08-233-43,Color panel,Yes
VAC_155005_P005_WD10,CNJ12-58-12,Color panel,Yes
VAC_155005_P005_WD11,CNJ12-58-23,Color panel,Yes
VAC_155005_P005_WD12,CNJ12-58-31,Color panel,Yes
VAC_155005_P005_WE01,CNJ12-56-59,Color panel,Yes
VAC_155005_P005_WE02,CNJ08-233-71,Color panel,Yes
VAC_155005_P005_WE03,CNJ08-233-21,Color panel,Yes
VAC_155005_P005_WE04,CNJ12-56-129,Color panel,Yes
VAC_155005_P005_WE05,CNJ12-56-143,Color panel,Yes
VAC_155005_P005_WE06,CNJ12-56-155,Color panel,Yes
VAC_155005_P005_WE07,CNJ08-233-37,Color panel,Yes
VAC_155005_P005_WE08,CNJ12-56-195,Color panel,Yes
VAC_155005_P005_WE09,CNJ12-58-03,Color panel,Yes
VAC_155005_P005_WE10,CNJ12-58-13,Color panel,Yes
VAC_155005_P005_WE11,CNJ12-58-24,Color panel,Yes
VAC_155005_P005_WE12,CNJ12-58-32,Color panel,Yes
VAC_155005_P005_WF01,CNJ08-233-64,Color panel,Yes
VAC_155005_P005_WF02,CNJ12-56-77,Color panel,Yes
VAC_155005_P005_WF03,CNJ08-233-23,Color panel,Yes
VAC_155005_P005_WF04,CNJ12-56-130,Color panel,Yes
VAC_155005_P005_WF05,CNJ12-56-144,Color panel,Yes
VAC_155005_P005_WF06,CNJ08-233-32,Color panel,Yes
VAC_155005_P005_WF07,CNJ12-56-185,Color panel,Yes
VAC_155005_P005_WF08,CNJ12-56-196,Color panel,Yes
VAC_155005_P005_WF09,CNJ12-58-04,Color panel,Yes
VAC_155005_P005_WF10,CNJ12-58-15,Color panel,Yes
VAC_155005_P005_WF11,CNJ12-58-25,Color panel,Yes
VAC_155005_P005_WF12,CNJ12-58-33,Color panel,Yes
VAC_155005_P005_WG01,CNJ08-233-73,Color panel,Yes
